,match_id,duration,radiant_win,radiant_denies,radiant_runes,radiant_cosmetics,radiant_camps_stacked,radiant_last_hits,radiant_consumables,radiant_ability_used,radiant_obs,radiant_portal_used,radiant_fruit_plucked,radiant_lamp_used,radiant_sent,dire_denies,dire_runes,dire_cosmetics,dire_camps_stacked,dire_last_hits,dire_consumables,dire_ability_used,dire_obs,dire_sent,dire_portal_used,dire_fruit_plucked,dire_lamp_used,avg_gold_adv_early,avg_xp_adv_early,radiant_kill_courier,dire_kill_courier,radiant_kill_rs,dire_kill_rs,radiant_aegis,dire_aegis,radiant_chat,dire_chat
5578,7169966253,2021,True,29,22,0,5,852,19,675,15,9,7,19,15,33,28,0,9,686,26,700,16,23,4,2,9,-496.1,-470.1,0,1,0,1,0,1,1,4
5579,7074447535,1738,True,19,10,8,8,687,24,1029,15,0,0,0,25,33,26,1,10,707,22,699,14,26,0,0,0,-1381.1,-1299.8,1,0,1,0,1,0,12,53
5580,7150403761,1573,True,40,17,1,6,721,27,444,13,1,6,44,16,28,25,0,8,690,28,449,8,2,0,3,5,-1454.3,222.6,0,1,0,0,0,0,4,3
5581,7046070449,2100,True,26,16,8,5,792,19,890,17,0,0,0,29,48,25,2,8,951,27,658,15,20,0,0,0,-700.8,-762.6,2,0,0,1,0,1,17,22
5582,7159513267,1989,True,35,20,0,5,810,27,669,16,2,6,9,26,65,30,0,6,940,19,507,13,15,0,5,12,37.0,-12.2,1,1,1,0,1,0,3,1
5583,7039320250,2229,True,54,18,9,12,968,47,691,18,0,0,0,33,36,27,8,5,888,53,543,17,33,0,0,0,223.7,240.7,1,3,2,0,2,0,9,12
5584,7153287355,2145,False,31,22,3,5,850,23,574,16,1,3,11,23,28,25,2,6,1054,24,1016,17,25,0,8,12,-547.4,-451.1,3,1,1,0,1,0,7,16
5585,7091028158,4904,False,46,52,17,18,2764,53,2638,38,0,0,0,52,54,66,24,16,2167,73,1376,36,70,0,0,0,-376.8,10.6,4,2,1,5,1,4,99,21
5586,7237238975,1708,False,35,15,0,12,711,34,456,14,2,6,11,23,40,24,1,2,730,19,776,13,22,1,4,10,913.6,179.4,0,4,0,0,0,0,22,29
5587,7228883135,1632,True,30,17,0,3,629,26,447,8,0,6,4,4,38,23,1,1,606,12,420,12,17,0,0,4,1091.7,867.6,1,2,0,0,0,0,6,4
5588,7076413636,2043,False,23,24,17,16,811,21,566,15,0,0,0,27,36,21,12,6,834,33,638,16,30,0,0,0,-1228.1,-723.2,0,4,0,1,0,1,6,32
5589,7175045318,1498,True,59,24,22,7,715,27,406,11,2,6,9,14,25,7,28,4,471,21,3587,11,20,0,4,6,2609.2,866.5,1,1,1,0,1,0,43,64
5590,7189659848,1610,False,5,18,0,3,513,27,389,12,1,4,8,11,44,26,0,5,727,14,463,10,8,1,6,9,-1469.8,-779.2,2,0,0,0,0,0,4,4
5591,7095582924,2101,True,55,28,18,4,959,47,3413,17,0,0,0,25,45,13,17,9,839,44,504,16,31,0,0,0,-467.4,-439.0,1,0,2,0,2,0,17,84
5592,7164592333,1747,True,50,27,1,1,582,40,466,9,1,7,11,3,10,13,7,3,349,20,211,10,6,1,1,10,3458.0,2115.8,3,0,0,0,0,0,37,25
5593,7136772304,2223,True,40,21,13,10,744,31,787,13,5,6,14,11,36,35,7,3,882,28,964,17,11,5,9,12,494.5,130.7,0,3,0,0,0,0,16,6
5594,7070744787,1405,False,23,10,0,3,440,26,310,10,0,0,0,9,23,19,0,5,575,30,431,10,12,0,0,0,-681.7,-482.2,1,2,0,0,0,0,6,3
5595,7047053528,3258,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0
5596,7226425561,2778,False,31,24,1,17,1268,29,894,21,7,7,8,37,21,44,15,4,1500,21,883,21,32,6,6,24,1612.3,654.9,2,3,2,0,2,0,62,59
5597,7152926937,1842,True,30,26,3,5,736,21,528,15,2,7,12,18,39,16,4,16,707,20,500,14,20,0,5,6,592.3,333.2,1,0,0,1,0,1,28,9
5598,7065665756,2211,True,36,23,16,5,923,29,960,17,0,0,0,26,46,27,16,6,824,20,958,16,17,0,0,0,-1098.4,-493.8,5,1,2,0,2,0,98,13
5599,7201915104,2705,False,42,23,16,10,1451,37,1980,21,7,10,24,35,31,40,8,5,1265,46,1033,21,35,2,6,27,-281.0,724.1,3,1,2,1,2,1,41,24
5600,7198212320,1834,False,30,17,18,7,679,26,793,14,0,9,12,25,67,27,17,7,865,32,1257,14,23,5,5,11,-2151.1,-1320.7,0,1,0,1,0,1,32,10
5601,7167312102,1675,False,66,14,13,22,738,27,640,14,0,4,10,25,30,26,21,14,605,28,548,13,22,2,4,7,-1186.7,-118.7,1,2,0,1,0,1,57,11
5602,7057440999,2027,True,26,29,15,4,715,52,642,16,0,0,0,28,33,13,16,4,931,44,707,16,29,0,0,0,751.1,481.4,5,1,2,0,2,0,43,31
5603,7151943916,1206,True,51,20,12,8,463,23,492,9,1,6,8,13,15,7,7,2,223,31,301,9,15,1,2,4,2320.3,2038.2,1,0,0,0,0,0,7,48
5604,7139754224,1388,False,15,11,7,6,490,16,472,11,0,4,10,15,51,27,10,2,580,27,879,12,19,0,2,9,-1199.2,-1429.7,0,2,0,0,0,0,30,6
